-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.833ms         0.00%       2.833ms       1.965us          1442  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.790ms         0.00%       2.790ms      34.881us            80  
                                           svd_v5/total         0.00%       0.000us         0.00%       0.000us       0.000us       2.643ms         0.00%       2.643ms      16.517us           160  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us       2.464ms         0.00%       2.464ms       7.701us           320  
                                       aten::clamp_min_         0.00%       7.948ms         0.00%      13.602ms       9.446us       2.424ms         0.00%       2.424ms       1.683us          1440  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.424ms         0.00%       2.424ms       1.683us          1440  
void pegasus_sortI32_by_oneCTA<512, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.376ms         0.00%       2.376ms      14.852us           160  
                                            aten::fill_         0.00%       6.065ms         0.01%      19.648ms      15.184us       1.990ms         0.00%       2.287ms       1.767us          1294  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.045ms         0.00%       2.045ms       1.362us          1501  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.013ms         0.00%       2.013ms       1.396us          1442  
                            potrf_alg2_reset_info(int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.978ms         0.00%       1.978ms       1.372us          1442  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.862ms         0.00%       1.862ms       9.499us           196  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       1.810ms         0.00%       1.810ms       3.770us           480  
                                            aten::randn         0.00%     964.427us         0.00%       4.923ms      30.767us       0.000us         0.00%       1.782ms      11.138us           160  
                                          aten::normal_         0.00%       2.037ms         0.00%       3.280ms      20.499us       1.782ms         0.00%       1.782ms      11.138us           160  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       1.782ms         0.00%       1.782ms      11.138us           160  
                    potrf_alg2_set_info(int, int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.751ms         0.00%       1.751ms       1.215us          1442  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us       1.690ms         0.00%       1.690ms       1.672us          1011  
void geam_kernel<int, float, false, true, false, tru...         0.00%       0.000us         0.00%       0.000us       0.000us       1.625ms         0.00%       1.625ms       2.902us           560  
                                             aten::isin         0.00%       3.328ms         0.01%      15.351ms      74.517us       0.000us         0.00%       1.568ms       7.610us           206  
                                              aten::eye         0.00%       2.910ms         0.01%      14.636ms      45.737us       0.000us         0.00%       1.375ms       4.297us           320  
                                              aten::any         0.00%       4.145ms         0.00%       9.789ms      25.361us     682.249us         0.00%       1.339ms       3.470us           386  
                                              aten::sin         0.00%       1.676ms         0.00%       2.566ms      13.091us       1.334ms         0.00%       1.334ms       6.804us           196  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         0.00%       1.334ms       6.804us           196  
                                              aten::cos         0.00%       1.862ms         0.00%       2.835ms      14.464us       1.331ms         0.00%       1.331ms       6.790us           196  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.331ms         0.00%       1.331ms       6.790us           196  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.241ms         0.00%       1.241ms       3.166us           392  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.213ms         0.00%       1.213ms       3.790us           320  
                                           aten::cumsum         0.00%       4.731ms         0.00%      10.716ms      52.021us       1.109ms         0.00%       1.109ms       5.383us           206  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.048ms         0.00%       1.048ms     104.836us            10  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us     971.279us         0.00%     971.279us       1.518us           640  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     956.125us         0.00%     956.125us       1.626us           588  
                             aten::_linalg_check_errors         0.00%     756.342us         0.00%       9.193ms      57.458us       0.000us         0.00%     927.084us       5.794us           160  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us     873.037us         0.00%     873.037us       4.238us           206  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us     696.993us         0.00%     696.993us       4.356us           160  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     682.249us         0.00%     682.249us       3.019us           226  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     658.666us         0.00%     658.666us       1.101us           598  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     646.734us         0.00%     646.734us       1.637us           395  
                                         aten::new_ones         0.00%       1.036ms         0.00%      11.996ms      61.205us       0.000us         0.00%     632.167us       3.225us           196  
                                              aten::sub         0.00%       3.716ms         0.00%       5.389ms      13.406us     629.160us         0.00%     629.160us       1.565us           402  
                                            aten::zero_         0.00%       1.023ms         0.00%       4.900ms      15.313us       0.000us         0.00%     614.413us       1.920us           320  
